Basic Industries,AK Steel Holding Corporation,2013-01,152362900
Basic Industries,AK Steel Holding Corporation,2013-02,115412700
Basic Industries,AK Steel Holding Corporation,2013-03,129500700
Basic Industries,AK Steel Holding Corporation,2013-04,141476400
Basic Industries,AK Steel Holding Corporation,2013-05,119930100
Basic Industries,AK Steel Holding Corporation,2013-06,112800300
Basic Industries,AK Steel Holding Corporation,2013-07,89119600
Basic Industries,AK Steel Holding Corporation,2013-08,97710800
Basic Industries,AK Steel Holding Corporation,2013-09,132654900
Basic Industries,AK Steel Holding Corporation,2013-10,117929000
Basic Industries,AK Steel Holding Corporation,2013-11,146086100
Basic Industries,AK Steel Holding Corporation,2013-12,146983600
Basic Industries,Agnico Eagle Mines Limited,2013-01,27813000
Basic Industries,Agnico Eagle Mines Limited,2013-02,25696200
Basic Industries,Agnico Eagle Mines Limited,2013-03,30316800
Basic Industries,Agnico Eagle Mines Limited,2013-04,47702300
Basic Industries,Agnico Eagle Mines Limited,2013-05,41229800
Basic Industries,Agnico Eagle Mines Limited,2013-06,38958100
Basic Industries,Agnico Eagle Mines Limited,2013-07,46515000
Basic Industries,Agnico Eagle Mines Limited,2013-08,40935000
Basic Industries,Agnico Eagle Mines Limited,2013-09,39879300
Basic Industries,Agnico Eagle Mines Limited,2013-10,49218700
Basic Industries,Agnico Eagle Mines Limited,2013-11,35544700
Basic Industries,Agnico Eagle Mines Limited,2013-12,42866500
Basic Industries,Agrium Inc.,2013-01,14507200
Basic Industries,Agrium Inc.,2013-02,19221700
Basic Industries,Agrium Inc.,2013-03,20974300
Basic Industries,Agrium Inc.,2013-04,28823900
Basic Industries,Agrium Inc.,2013-05,25124500
Basic Industries,Agrium Inc.,2013-06,13655100
Basic Industries,Agrium Inc.,2013-07,23792500
Basic Industries,Agrium Inc.,2013-08,23599700
Basic Industries,Agrium Inc.,2013-09,16067600
Basic Industries,Agrium Inc.,2013-10,26774400
Basic Industries,Agrium Inc.,2013-11,19482100
Basic Industries,Agrium Inc.,2013-12,15564100
Basic Industries,Air Products and Chemicals, Inc.,2013-01,20558600
